location_id,place_id,attestation,latitude,longitude
loc_0423,yrdb334,us_81009,36.52712613,112.5237561
loc_0424,yrdb335,us_80117,36.2686928,109.6357132
loc_0425,yrdb336,ds_1719,35.62788333,117.4999278
loc_0426,yrdb337,us_80869,38.40839763,112.9940739
loc_0427,yrdb338,ds_1093,38.03532222,116.7158861
loc_0428,yrdb339,ds_1628,,
loc_0429,yrdb340,ds_1455,31.82235278,117.2216694
loc_0430,yrdb341,ds_1095,33.001,112.5444
loc_0431,yrdb342,ds_427,34.91051667,114.8465139
loc_0432,yrdb343,us_80944,35.49787977,112.0920633
loc_0433,yrdb345,ds_1094,35.7899,118.6333
loc_0434,yrdb346,ds_424,33.43157778,114.8321778
loc_0435,yrdb347,us_80964,35.69782167,113.0917728
loc_0436,yrdb348,ds_885,37.15325,118.1224861
loc_0437,yrdb349,ds_1331,36.45702778,115.9797556
loc_0438,yrdb350,ds_884,36.64102222,115.9932694
loc_0439,yrdb351,us_20087,34.21153323,108.8956545
loc_0440,yrdb352,ds_883,35.17163611,113.0577667
loc_0441,yrdb353,us_81030,40.13516857,107.7228784
loc_0442,yrdb354,ds_40,36,115.9833333
loc_0443,yrdb355,us_40036,34.09992037,111.040344
loc_0444,yrdb356,ds_373,34.39795556,115.8651889
loc_0445,yrdb357,us_80190,34.39838716,110.4654783
loc_0446,yrdb358,ds_657,36.60789722,117.2304833
loc_0447,yrdb359,ds_1504,35.51998611,114.7903917
loc_0448,yrdb360,ds_1192,35.60690556,114.311675
loc_0449,yrdb361,ds_628,35.42926667,114.2258028
loc_0450,yrdb361,ds_1505,35.39860833,114.0584167
loc_0451,yrdb362,ds_1639,35.3133,113.8659611
loc_0452,yrdb363,ds_1191,35.39785833,114.0607028
loc_0453,yrdb364,ds_1007,35.24872222,113.6646694
loc_0454,yrdb365,ds_1010,35.39860833,114.0584167
loc_0455,yrdb365,ds_1653,,
loc_0456,yrdb366,ds_1037,34.99840556,113.7798333
loc_0457,yrdb367,ds_1052,37.20253333,116.0789667
loc_0458,yrdb368,us_40195,38.69202794,106.6224038
loc_0459,yrdb369,ds_92,36.73333333,116.9666667
loc_0460,yrdb369,ds_211,36.81666667,117.1333333
loc_0461,yrdb369,ds_474,36.858425,117.1616528
loc_0462,yrdb369,ds_495,36.88303889,117.1813056
loc_0463,yrdb369,ds_745,36.75638611,117.0801444
loc_0464,yrdb369,ds_1051,36.67625,117.0126583
loc_0465,yrdb370,ds_1258,37.48914722,117.504275
loc_0466,yrdb371,us_80250,34.24224224,109.5045241
loc_0467,yrdb372,us_80234,33.83062498,107.8202737
loc_0468,yrdb373,us_10023,35.10403393,112.5271967
loc_0469,yrdb374,us_20171,35.11415874,112.5270778
loc_0470,yrdb375,us_20112,40.56025548,109.5437268
loc_0471,yrdb376,us_70402,38.66734236,112.7363899
loc_0472,yrdb376,us_80852,38.70149427,112.7350583
loc_0473,yrdb378,ds_797,35.09981667,113.339325
loc_0474,yrdb379,ds_553,34.84525833,113.2119167
loc_0475,yrdb380,ds_10,39.2,111.8833333
loc_0476,yrdb380,ds_222,35.1,113.9166667
loc_0477,yrdb380,ds_242,35.06666667,113.9333333
loc_0478,yrdb380,ds_443,34.9341,113.9144
loc_0479,yrdb380,ds_624,,
loc_0480,yrdb380,ds_1289,35.002,113.7827
loc_0481,yrdb381,us_20018,40.73353939,111.7381659
loc_0482,yrdb382,us_80276,34.50273432,107.0845327
loc_0483,yrdb383,us_40141,40.59717056,112.0393318
loc_0484,yrdb384,us_81091,35.505832,103.028788
loc_0485,yrdb385,ds_541,35.00094444,116.0299972
loc_0486,yrdb386,us_70334,38.37086354,110.0566068
loc_0487,yrdb386,us_80050,38.40926852,110.0573488
loc_0488,yrdb387,us_70255,36.02393502,106.6749521
loc_0489,yrdb388,us_80070,37.57004142,109.7942861
loc_0490,yrdb389,us_80771,36.92928199,111.5126862
loc_0491,yrdb390,ds_539,34.23333333,117.55
loc_0492,yrdb390,ds_540,34.03742778,117.5878417
loc_0493,yrdb392,us_70115,40.12431249,112.2240203
loc_0494,yrdb393,ds_542,35.25546389,115.4850222
loc_0495,yrdb394,us_80065,37.60149456,110.05163
